sample,ENSG00000157150.4,ENSG00000139618.14,ENSG00000133687.15,ENSG00000082175.14,ENSG00000012048.19,ENSG00000140009.18,ENSG00000196569.11,ENSG00000091831.21,ENSG00000107485.15,ENSG00000141736.13
TCGA-A2-A25B-01,-3.0469,2.2931,0.2522,0.5955,1.5709,-3.6259,0.5763,4.7170,8.0463,5.1974
TCGA-BH-A1EO-11,7.2872,-1.2828,4.0180,-1.6850,0.8726,-0.5125,4.5192,0.9191,1.0642,3.0446
TCGA-AO-A03R-01,0.4552,0.8246,1.4600,0.0440,1.9415,-3.0469,-0.0877,6.2186,8.1612,3.9561
TCGA-A2-A0ER-01,0.6969,1.0915,-0.1031,1.8604,2.6090,-4.6082,1.2271,7.6202,8.3107,6.4850
TCGA-OL-A66K-01,-0.8339,-1.4699,0.2400,6.1359,2.2573,-4.6082,2.3926,6.3160,8.3147,7.3809
TCGA-BH-A0B8-01,0.6332,0.9935,1.9564,0.8246,2.6185,-2.9324,1.4335,7.6520,8.4999,6.7994
TCGA-BH-A1F6-11,5.2646,-0.2328,4.5386,2.6418,0.9716,-0.4521,4.6798,4.5699,5.4719,4.4290
TCGA-BH-A0BA-01,2.0878,1.6695,2.4090,0.7146,2.4225,-1.7322,3.4224,6.3937,7.7835,6.6621
TCGA-S3-AA10-01,-3.6259,0.6517,-0.4719,-4.0350,3.3577,-1.5105,-1.2481,-0.9132,3.4920,5.4787
TCGA-A8-A08J-01,-2.1140,0.8488,-0.3940,1.0151,2.0395,-2.7274,0.5666,4.4040,7.9194,10.4127
TCGA-LD-A66U-01,0.6880,-2.9324,1.3051,3.1892,0.9419,-4.0350,2.7910,4.4196,7.7061,6.6342
TCGA-A8-A0A9-01,-0.6873,0.4447,0.0580,3.9431,2.6278,-3.8160,1.5950,7.4110,8.2618,7.0031
TCGA-AC-A3TN-01,1.4756,-2.1140,-1.0559,2.5288,1.5366,-3.4580,0.8082,7.1229,8.4545,7.2704
TCGA-BH-A0BM-01,3.8710,-1.5522,1.7489,-0.1345,0.6880,-2.1140,2.3366,5.3705,7.9158,6.0540
TCGA-A2-A04T-01,0.7832,2.7951,2.0183,-4.2934,-1.3548,-2.1779,0.7999,-2.1140,2.9710,5.7871
TCGA-OL-A5S0-01,-0.0277,0.0580,0.2998,-3.8160,1.8801,-2.9324,2.3308,-2.6349,4.0926,6.1563
TCGA-E2-A14R-01,-5.0116,2.1638,-0.9971,-6.5064,-1.7322,-2.7274,-0.5332,-2.4659,1.5806,5.5179
TCGA-AN-A0XW-01,-1.1172,0.3231,3.1409,2.4359,2.1411,-2.9324,2.1798,4.8017,6.9405,5.7140
TCGA-A8-A07J-01,2.9356,0.8327,1.0847,2.9875,1.4859,-4.2934,3.1045,5.1720,7.7760,6.6686
TCGA-A2-A0SX-01,-0.5332,2.4412,1.1706,-2.3884,2.5561,-1.7809,1.4228,1.3567,3.9992,5.6528
TCGA-A7-A26G-01,-0.9406,1.0151,0.7916,-0.7108,1.6785,-2.7274,2.8014,-0.5543,4.0082,3.5827
TCGA-BH-A2L8-01,1.0363,0.3796,0.0300,3.6669,2.3366,-1.9379,3.1685,3.9810,6.5046,6.0459
TCGA-BH-A0B6-01,0.2029,-1.3548,0.6239,-2.6349,0.4761,-2.5479,1.7702,5.8662,8.0958,5.2365
TCGA-AC-A2FB-11,4.3356,-1.3921,3.6657,2.5288,1.2394,-1.1488,4.2396,4.4900,5.3473,5.5778
TCGA-BH-A0BS-01,0.7748,0.2998,1.3167,2.4727,2.0360,-4.6082,0.1257,8.1899,8.6061,7.1855
TCGA-EW-A1P7-01,1.5115,0.2277,1.7097,0.5370,1.2992,-0.5543,2.6418,2.0147,3.7400,6.7501
TCGA-AN-A0AJ-01,-4.6082,1.1577,-0.8863,4.7187,3.4358,-3.3076,1.9749,6.5424,7.3296,6.0947
