sample,ENSG00000145041.15,ENSG00000136997.14,ENSG00000139687.13,ENSG00000171862.9,ENSG00000169083.15,ENSG00000157557.11,ENSG00000157554.18,ENSG00000134954.14,ENSG00000141510.15
TCGA-G9-A9S4-01,3.2900,5.6806,3.0619,4.2510,4.2609,5.9011,6.6727,1.6045,4.8645
TCGA-HC-8256-01,3.3675,5.2649,3.6242,4.5832,4.4855,3.1278,0.1519,2.5972,4.8390
TCGA-HI-7170-01,2.8799,5.8187,3.1212,4.5693,3.4048,6.7225,1.9638,4.4634,4.8881
TCGA-J9-A52E-01,2.6067,4.7887,2.5780,5.4621,3.6463,6.3093,3.7730,2.6510,4.5255
TCGA-G9-7523-01,2.5707,4.4013,3.0808,4.5940,3.5237,5.1339,2.3816,4.3477,4.0799
TCGA-TK-A8OK-01,2.4831,5.3136,3.4102,4.2033,3.8044,5.0466,2.7805,4.0028,3.6939
TCGA-EJ-7325-01,1.8201,4.6560,1.2455,3.8461,3.1860,4.3702,6.3464,0.4552,4.7187
TCGA-HC-8257-01,3.3675,6.2582,3.5047,3.9801,4.3965,3.4264,6.2512,2.9600,5.2365
TCGA-FC-A4JI-01,3.8330,6.4425,3.5657,4.5192,4.5862,1.2815,-0.8084,2.0465,4.8788
TCGA-EJ-A8FS-01,3.2065,6.1154,2.7700,4.6485,5.1974,3.0568,-0.4325,1.8524,4.7955
TCGA-HC-7745-11,2.7073,3.1228,3.2973,4.0722,4.5230,4.5040,1.2636,3.6463,3.9318
TCGA-HC-7078-01,2.9581,5.1469,3.1228,4.8540,4.1668,4.6247,1.7995,3.7291,3.9755
TCGA-ZG-A9L2-01,3.1228,4.7872,2.8936,3.6266,3.4984,4.0816,5.1052,3.7773,4.8048
TCGA-KK-A7B2-01,2.7051,5.3067,2.5188,3.5754,3.1228,6.0171,4.6047,3.5827,4.5862
TCGA-EJ-5497-01,3.3221,5.4243,3.9242,4.6860,4.5754,4.8334,6.3140,4.1417,4.9426
TCGA-H9-A6BY-01,2.0360,5.7391,1.6875,3.4197,2.9929,2.0254,5.3241,-0.2498,4.7825
TCGA-2A-A8VV-01,2.5263,5.4598,3.0808,4.3213,3.2112,2.8582,6.3953,2.4597,4.9677
TCGA-HC-A9TH-01,3.2766,4.7635,3.2450,1.9264,4.1684,3.6543,1.4281,3.1523,4.3765
TCGA-EJ-7318-01,2.6441,5.2702,2.1509,3.8640,3.5959,3.2282,-0.0877,1.5806,4.0601
TCGA-YL-A8HL-01,3.5287,4.6118,3.8401,1.4388,4.8837,3.6324,7.7925,2.8014,4.2884
TCGA-EJ-5496-01,3.4804,5.0790,3.5387,4.6944,4.6023,3.8177,7.4258,2.7763,4.9919
TCGA-CH-5754-01,3.3003,6.5214,3.4237,3.0038,4.6949,4.1994,6.5286,4.3660,2.7763
TCGA-KK-A7AZ-01,2.7029,6.4627,2.4805,4.3090,4.3965,3.7204,0.3231,1.8918,5.9477
TCGA-EJ-5509-01,3.0619,5.5370,3.3464,4.7469,4.8269,4.2472,1.7954,3.8935,4.6300
TCGA-G9-6384-01,3.8228,5.7824,3.9242,4.6124,4.5503,5.7279,6.6483,4.2669,4.5904
TCGA-ZG-A9L0-01,2.9893,5.6136,3.5161,4.3632,4.3313,4.6288,2.1476,3.8085,3.6125
TCGA-EJ-A7NN-01,3.2944,3.4713,3.3647,4.7991,4.5856,3.9737,1.6512,3.8827,3.8023
TCGA-ZG-A9ND-01,3.1278,4.5784,2.5900,3.8330,4.2721,3.9829,0.1519,2.4934,4.3646
TCGA-CH-5761-11,3.0637,4.4673,3.6417,3.9403,3.9118,5.6398,0.7233,3.2466,5.1252
TCGA-EJ-7781-01,3.4907,6.0792,4.1252,4.8375,4.8679,4.0858,1.1447,3.8441,3.7050
TCGA-VN-A88I-01,2.8402,5.0277,3.0110,4.0584,3.0110,5.3417,2.2872,3.6691,4.4377
TCGA-G9-6362-11,2.6533,3.1829,3.9728,4.9341,3.6939,4.0100,5.9889,2.7073,5.0242
TCGA-HC-A9TE-01,3.1028,3.5486,3.3647,2.9562,4.2943,4.0383,4.5104,3.9270,2.9262
TCGA-HC-A6AQ-01,2.1280,5.0153,1.7995,3.7400,3.3647,3.2143,0.2277,1.1833,4.6933
TCGA-KK-A8ID-01,2.6850,5.3045,3.6703,4.0055,4.5862,2.5087,0.4016,2.6895,4.4410
TCGA-HC-A631-01,3.3221,5.8359,3.6771,1.2455,4.1547,4.9584,0.3907,2.1798,4.3758
TCGA-XK-AAIR-01,3.3911,4.4483,3.7794,4.3910,5.2083,5.2036,1.1641,3.1797,4.4410
TCGA-YL-A9WJ-01,3.2251,6.3766,3.3393,4.1498,4.3060,4.9892,2.0707,3.7846,4.7704
